run_accession	experiment_accession	sample_accession	study_accession	secondary_study_accession	submission_accession	tax_id	scientific_name	library_strategy	library_source	library_selection	instrument_platform	instrument_model	read_count	base_count	fastq_md5	fastq_bytes	submitted_md5	submitted_bytes	submitted_format	center_name	broker_name	first_public	last_updated
ERR271455	ERX245682	SAMEA1886579	PRJEB1343	ERP002163	ERA211705	562	Escherichia coli	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	2182280	436456000	fb2cd768bfff9459ee0b3b80dfcc21db;a70f691d71af15d4485db0b3536c4e3f	200924955;212919783	dfc21811ac10bf9324941be4c32b1ea0	392736562	BAM	Wellcome Sanger Institute;SC		2013-05-07	2018-11-16
ERR271456	ERX245683	SAMEA1886630	PRJEB1343	ERP002163	ERA211705	562	Escherichia coli	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	2190153	438030600	2fbb9c20e276551844b550cdd8b9f22d;a0002bdb339cf48ffe31b5d4c7d56d20	201800561;213710382	814ced000064ef22f7a2246c28f5ebd1	389303660	BAM	Wellcome Sanger Institute;SC		2013-05-07	2018-11-16
SRR822797	SRX262477	SAMN01999394	PRJNA196490	SRP020629	SRA072536	447135	Myodes glareolus	OTHER	GENOMIC	Reduced Representation	ILLUMINA	Illumina HiSeq 2000	1749228	111950592	11a85325b65f5fa63126bd6c217339f5	94910154				University of Bern		2013-05-27	2020-05-31
ERR267964	ERX242460	SAMEA1906648	PRJEB1880	ERP002553	ERA210147	56765	uncultured marine bacterium	AMPLICON	GENOMIC	PCR	LS454	454 GS FLX Titanium	5758	2625258	df2b007addc7bcc5ac4793a29078e3f7	888023	483d7a34255bed920dbb7208c5f3bc8c	17616176	SFF	Observatoire Oceanologique de Banyuls-sur-mer;= France;OOB (UPMC;CNRS)		2013-05-21	2018-11-16
ERR271457	ERX245684	SAMEA1886654	PRJEB1343	ERP002163	ERA211705	562	Escherichia coli	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	3227795	645559000	3fc3bda8c640482cc792b2db1c13df8f;b06079ccb7dc5e3059a5903f2ae189c7	296391880;314175070	35861a496048a06da9aba98358ac8721	572129848	BAM	Wellcome Sanger Institute;SC		2013-05-07	2018-11-16
SRR850032	SRX277200	SAMN01908646	PRJNA67229	SRP022359	SRA075930	69004	Anopheles farauti	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	16784546	3390478292	10a392d9910e5d9414792aa75ef4e970;bab5a078961c1f6cd77a4a0cf5cd6313	1445452038;1438482585				BI		2013-05-25	2020-05-27
ERR268268	ERX242648	SAMEA1906671	PRJEB1891	ERP002565	ERA211549	3329	Picea abies	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	74619287	15073095974	378371a733b1bfa454d9df1229949be4;b19100f0e942f4823a7f60ac2ce16a8e	6297206806;6318581087	0025ffe58618e4a30864829ec9385e3d	12635758919	FASTQ	Umea Plant Science Centre;UPSC		2013-05-21	2018-11-16
ERR271461	ERX245688	SAMEA1886597	PRJEB1343	ERP002163	ERA211705	562	Escherichia coli	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	1952293	390458600	7f487487f4969c2f8e44daad5593152b;8ff57f4afc8b889fc353ef8084172d8c	179850169;190859242	60d3b28009db511bc50cae78c94ed23d	346954688	BAM	Wellcome Sanger Institute;SC		2013-05-07	2018-11-16
ERR271462	ERX245689	SAMEA1886661	PRJEB1343	ERP002163	ERA211705	562	Escherichia coli	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	2760194	552038800	7f0fe6315ba9e456b8077b601fdfe8b1;0e1c93cdb8046fe523aa8e8f129c7cf8	254134841;268719575	e4eb63f2a1416beb2dd7b86ff29a059c	491969157	BAM	Wellcome Sanger Institute;SC		2013-05-07	2018-11-16
ERR271464	ERX245691	SAMEA1886606	PRJEB1343	ERP002163	ERA211705	562	Escherichia coli	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	1914624	382924800	7b3155ffc4b1f4040110aedffc0de05a;37e1f068e1d33002c8748bbafa704db1	176081764;186514028	cd08c21386464174e35edd3ee4193e91	342074389	BAM	Wellcome Sanger Institute;SC		2013-05-07	2018-11-16
SRR822803	SRX262483	SAMN01999400	PRJNA196490	SRP020629	SRA072536	447135	Myodes glareolus	OTHER	GENOMIC	Reduced Representation	ILLUMINA	Illumina HiSeq 2000	1676683	107307712	65a33efd2e97f35f1c621d700ba3ad8b	89827254				University of Bern		2013-05-27	2020-06-01
ERR267965	ERX242461	SAMEA1906654	PRJEB1880	ERP002553	ERA210147	56765	uncultured marine bacterium	AMPLICON	GENOMIC	PCR	LS454	454 GS FLX Titanium	8586	3971537	b5a21578a1f1cf40eb82af5f14856f6d	1360888	bbe279ca09fd5e74a621761369d0cb36	26438544	SFF	Observatoire Oceanologique de Banyuls-sur-mer;= France;OOB (UPMC;CNRS)		2013-05-21	2018-11-16
ERR271473	ERX245700	SAMEA1886603	PRJEB1343	ERP002163	ERA211705	562	Escherichia coli	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	2553004	510600800	8d157f9729e5b682f5374e6337b7bdc9;77d544a1825d83e263d1c19866f46a17	235143673;249153764	86fdfce95f5bec5075681dd52aad381b	454153825	BAM	Wellcome Sanger Institute;SC		2013-05-07	2018-11-16
ERR268280	ERX242649	SAMEA1906671	PRJEB1891	ERP002565	ERA211549	3329	Picea abies	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	18379858	3712731316	85b56a0a7fc19450219236260960f1f8;fbfb7616b065f9ad0d29bf1d4530f83a	1557771992;1585884047	1a3a3b806e00c633c67267fc4ba9465d;084936c09a6b1d0edb5abf3f73e33ce8	1503830383;1533358209	FASTQ;FASTQ	Umea Plant Science Centre;UPSC		2013-05-21	2018-11-16
SRR850083	SRX277209	SAMN02047259	PRJNA67219	SRP020570	SRA073601	30069	Anopheles stephensi	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	41022037	8286451474	f4fb3668e0de44bb9c79a63838d7a17b;22efa18d859f17d238003a0c6d17ffdb	3332592311;3112236899				BI		2013-05-25	2019-10-26
ERR271480	ERX245707	SAMEA1886598	PRJEB1343	ERP002163	ERA211705	562	Escherichia coli	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	2328976	465795200	53a53067923e6712cce0b7c8e6bd328d;d9f5ba31fbfce6983a1a5712ee9a13c2	214537837;227797961	a278988024349ba8e565295461a2e5e6	417165806	BAM	Wellcome Sanger Institute;SC		2013-05-07	2018-11-16
ERR268043	ERX242539	SAMEA1688760	PRJEB2804	ERP001094	ERA211457	5833	Plasmodium falciparum	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina MiSeq	244000	11712000	508052b03733bc826b4c9de779b1c97f;ea53e6c6901050c4a62b6f53e95b0b80	6947285;6244498	5d19ecf1f4c37092a21f5171666d7fa0	18250714	BAM	Wellcome Sanger Institute;SC		2013-05-02	2018-11-16
ERR271484	ERX245711	SAMEA1886629	PRJEB1343	ERP002163	ERA211705	562	Escherichia coli	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	2067086	413417200	ad8a7cb6f9fd2948761246ffc1e535c3;b7e59cea85f0b44bb94b944d8bf5f5d5	190422240;202101941	446a47bd8a402d2883f92ce49183b9c5	368677241	BAM	Wellcome Sanger Institute;SC		2013-05-07	2018-11-16
SRR822808	SRX262488	SAMN01999405	PRJNA196490	SRP020629	SRA072536	447135	Myodes glareolus	OTHER	GENOMIC	Reduced Representation	ILLUMINA	Illumina HiSeq 2000	2564386	164120704	d705ff19664aaf7877fbf14689975271	136808734				University of Bern		2013-05-27	2019-10-30
ERR271487	ERX245714	SAMEA1886610	PRJEB1343	ERP002163	ERA211705	562	Escherichia coli	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	2059992	411998400	2b601d914cae80bcc08d0a4893bca1df;bf950b8736b77676212b5c5ec6e41fc4	189460656;200847997	cc7f7c0c8bbc9d6011ec530b6b778418	367584718	BAM	Wellcome Sanger Institute;SC		2013-05-07	2018-11-16
ERR268281	ERX242649	SAMEA1906671	PRJEB1891	ERP002565	ERA211549	3329	Picea abies	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	23177018	4681757636	d10025f889fc06f96e1a354403ba8540;20cd7f2dbafaa556cbe30bc9bdf4ec67	1930786298;1971766649	a9d9284ae0a526ac9376875587300f18;ffca61c552f411747d71a652f6e477ba	1861682576;1905117905	FASTQ;FASTQ	Umea Plant Science Centre;UPSC		2013-05-21	2018-11-16
ERR271488	ERX245715	SAMEA1886643	PRJEB1343	ERP002163	ERA211705	562	Escherichia coli	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	2383930	476786000	db44bde45b3b5f76519ecd4e76dea02a;c26e2e7f503674a615c6132d1fcd88df	219065067;231756853	0a74a041e2bdfe5ac6be16e240da5ed0	422889046	BAM	Wellcome Sanger Institute;SC		2013-05-07	2018-11-16
SRR850086	SRX277210	SAMN02047258	PRJNA67219	SRP020570	SRA073601	30069	Anopheles stephensi	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	40913798	8264587196	ddeccaebd3301c82fa0d03005eb680ae;52afef828d16ae3220c2f9b924296b14	3330337014;3094555882				BI		2013-05-25	2020-05-27
ERR268051	ERX242547	SAMEA1688811	PRJEB2804	ERP001094	ERA211457	5833	Plasmodium falciparum	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina MiSeq	48896	2347008	4ac89c0390c347cc29d3fe3d5f16e4d9;2adc0ddd1b8f1c6ca512e5d49842fd22	1446750;1292045	3d2dfa451db0dab52301209f784cd862	4194125	BAM	Wellcome Sanger Institute;SC		2013-05-02	2018-11-16
ERR271491	ERX245718	SAMEA1886669	PRJEB1343	ERP002163	ERA211705	562	Escherichia coli	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	2718404	543680800	a51e699035974a939c210028dcc83488;8f271790844ac401ee589f7f0dbda248	249940876;265022685	12905d2b4d1f453963b4bfa8bf39dd30	484032286	BAM	Wellcome Sanger Institute;SC		2013-05-07	2018-11-16
ERR271499	ERX245726	SAMEA1886609	PRJEB1343	ERP002163	ERA211705	562	Escherichia coli	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	2459492	491898400	1d80539712e32b239ce52739567482a7;d512e0b82824c98e4b10d5b7683fb7eb	225886522;239232122	b8f095393a8dea7e754c0ad92bac34e1	437424600	BAM	Wellcome Sanger Institute;SC		2013-05-07	2018-11-16
