runA	runB	studyA	studyB	nameA	nameB	relation	prior	stat_identical	suppA	suppB	topA	verdict
ERR1654670	ERR2707038	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0378	[('Mycobacterium tuberculosis', 3.8), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR842800	ERR843264	PRJEB9004	PRJEB9031	uncultured archaeon	uncultured bacterium	same_genus	EXACT_md5	True	None	None	[('Desulfovibrio vulgaris', 42.9), ('Methanoregula boonei', 42.9)]	untestable (no species-level claim on either side)
ERR1199102	ERR1654655	PRJEB11460	PRJEB15463	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0354	None	[('Mycobacterium tuberculosis', 3.5), ('Mycobacterium canettii', 0.1), ('Mycobacterium africanum', 0.0)]	species-level reads support A only
ERR1654655	ERR2706959	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0354	[('Mycobacterium tuberculosis', 3.5), ('Mycobacterium canettii', 0.1), ('Mycobacterium africanum', 0.0)]	species-level reads support B only
ERR957229	ERR993556	PRJEB9815	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Collinsella aerofaciens', 14.7), ('Fusicatenibacter saccharivorans', 8.7), ('Romboutsia timonensis', 4.0)]	species-level reads support neither
ERR1465886	ERR551115	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	False	0.0301	None	[('Mycobacterium tuberculosis', 3.0), ('Mycobacterium canettii', 0.0), ('Streptomyces specialis', 0.0)]	species-level reads support A only
ERR1465727	ERR551719	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0289	None	[('Mycobacterium tuberculosis', 2.9), ('Mycobacterium canettii', 0.0), ('Streptomyces specialis', 0.0)]	species-level reads support A only
ERR1465855	ERR552871	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0324	None	[('Mycobacterium tuberculosis', 3.2), ('Mycobacterium canettii', 0.0), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1465878	ERR550901	PRJEB11460	PRJEB7727	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.075	None	[('Mycobacterium tuberculosis', 7.5), ('Mycobacterium canettii', 0.1), ('Mycobacterium africanum', 0.0)]	species-level reads support A only
ERR1199107	ERR1654653	PRJEB11460	PRJEB15463	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0355	None	[('Mycobacterium tuberculosis', 3.5), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
